qid,start,finish,runtime,status
14308,0.0,30.3,30.26,ok
4383,30.3,44.1,13.79,ok
4741,0.0,58.8,58.83,ok
26517,58.8,61.1,2.23,ok
25788,61.1,68.4,7.34,ok
10795,0.0,78.4,78.45,ok
10229,78.4,96.3,17.8,ok
9990,68.4,100.5,32.09,ok
17168,96.3,150.6,54.3,ok
25478,150.6,165.4,14.84,ok
3955,100.5,189.4,88.89,ok
11844,44.1,190.3,146.23,ok
7857,165.4,206.3,40.89,ok
14018,206.3,211.9,5.55,ok
25527,189.4,225.4,36.03,ok
26522,0.0,235.8,235.77,ok
26294,190.3,236.8,46.48,ok
26022,211.9,242.3,30.45,ok
14904,225.4,253.2,27.71,ok
26321,235.8,255.0,19.2,ok
26214,236.8,269.2,32.47,ok
26005,242.3,279.6,37.26,ok
11822,253.2,298.8,45.69,ok
12889,255.0,302.1,47.09,ok
25934,279.6,309.2,29.62,ok
11614,269.2,315.2,45.93,ok
25344,298.8,324.0,25.18,ok
26810,309.2,339.7,30.47,ok
26027,315.2,362.2,47.03,ok
7436,362.2,374.6,12.36,ok
15149,302.1,375.3,73.27,ok
25467,324.0,386.6,62.58,ok
17471,339.7,392.1,52.38,ok
10948,374.6,408.0,33.43,ok
14051,408.0,433.9,25.86,ok
26496,433.9,447.7,13.8,ok
7787,447.7,465.3,17.69,ok
25631,375.3,486.7,111.36,ok
26414,392.1,501.9,109.84,ok
25746,486.7,501.9,15.22,ok
6107,386.6,511.1,124.52,ok
26240,501.9,515.1,13.12,ok
12305,501.9,524.9,23.0,ok
9953,515.1,531.4,16.35,ok
16115,465.3,541.8,76.46,ok
7660,541.8,555.6,13.79,ok
14342,531.4,559.2,27.8,ok
26144,559.2,564.9,5.66,ok
12343,555.6,575.9,20.32,ok
22566,564.9,587.8,22.88,ok
26479,575.9,598.6,22.65,ok
15014,524.9,618.8,93.92,ok
26508,511.1,641.8,130.69,ok
17034,587.8,642.9,55.15,ok
9618,618.8,646.9,28.1,ok
26324,642.9,654.1,11.15,ok
11399,598.6,690.0,91.42,ok
25629,646.9,712.4,65.52,ok
4291,712.4,720.7,8.26,ok
17332,654.1,731.1,77.05,ok
15049,690.0,764.3,74.27,ok
26787,641.8,774.7,132.88,ok
5069,774.7,789.3,14.63,ok
11334,764.3,790.5,26.21,ok
14319,789.3,833.5,44.12,ok
11729,731.1,843.2,112.01,ok
10260,720.7,843.2,122.54,ok
8198,833.5,856.0,22.54,ok
10001,843.2,868.8,25.55,ok
26256,843.2,878.4,35.19,ok
15243,856.0,880.3,24.25,ok
3924,868.8,889.2,20.38,ok
25469,878.4,898.1,19.78,ok
25577,889.2,920.0,30.85,ok
26658,790.5,930.7,140.23,ok
25882,920.0,941.2,21.16,ok
13237,930.7,960.9,30.15,ok
10073,941.2,961.2,20.0,ok
26456,961.2,974.7,13.49,ok
15010,898.1,975.7,77.54,ok
15474,960.9,994.6,33.65,ok
11810,974.7,1005.4,30.64,ok
25397,880.3,1091.5,211.19,ok
11968,994.6,1101.0,106.45,ok
5765,1101.0,1106.6,5.52,ok
9173,1005.4,1129.6,124.24,ok
15348,1091.5,1166.2,74.73,ok
25498,1106.6,1176.8,70.28,ok
8793,1176.8,1189.0,12.16,ok
26718,1189.0,1200.9,11.87,ok
11082,1166.2,1218.7,52.49,ok
2895,1200.9,1220.8,19.94,ok
26710,1129.6,1226.1,96.48,ok
26115,975.7,1240.3,264.64,ok
15326,1220.8,1251.2,30.38,ok
14438,1251.2,1280.0,28.8,ok
9057,1240.3,1280.5,40.15,ok
12050,1280.5,1286.7,6.25,ok
13805,1286.7,1301.8,15.07,ok
25435,1280.0,1310.2,30.2,ok
8812,1301.8,1330.2,28.37,ok
26245,1226.1,1333.5,107.43,ok
25259,1218.7,1352.3,133.61,ok
22624,1330.2,1359.6,29.44,ok
26281,1333.5,1370.8,37.27,ok
25977,1310.2,1410.7,100.5,ok
15697,1352.3,1425.4,73.08,ok
26327,1410.7,1426.6,15.85,ok
17182,1359.6,1427.4,67.77,ok
15150,1370.8,1450.2,79.4,ok
8569,1426.6,1450.5,23.91,ok
25425,1427.4,1467.3,39.96,ok
11555,1425.4,1470.7,45.26,ok
25824,1450.2,1473.3,23.1,ok
25885,1450.5,1492.3,41.8,ok
26752,1470.7,1503.4,32.71,ok
24675,1473.3,1510.7,37.35,ok
26276,1510.7,1516.7,6.06,ok
10075,1467.3,1542.3,74.96,ok
25320,1516.7,1543.2,26.5,ok
11800,1492.3,1561.6,69.28,ok
25715,1542.3,1563.5,21.24,ok
6836,1561.6,1578.2,16.58,ok
14738,1578.2,1595.5,17.35,ok
26112,1563.5,1596.9,33.31,ok
18604,1503.4,1599.7,96.31,ok
19186,1543.2,1613.3,70.04,ok
26813,1595.5,1617.1,21.59,ok
15832,1599.7,1628.6,28.87,ok
25315,1628.6,1641.5,12.84,ok
26210,1596.9,1657.7,60.86,ok
25871,1641.5,1657.9,16.42,ok
26382,1657.7,1662.3,4.51,ok
14674,1657.9,1676.9,19.07,ok
26439,1662.3,1682.3,20.08,ok
26783,1682.3,1691.3,8.96,ok
26067,1691.3,1709.0,17.67,ok
17875,1617.1,1717.3,100.24,ok
9000,1709.0,1731.1,22.16,ok
16495,1613.3,1732.5,119.23,ok
14075,1731.1,1733.2,2.1,ok
26720,1733.2,1744.5,11.28,ok
26025,1717.3,1766.7,49.36,ok
18656,1766.7,1784.5,17.75,ok
10322,1784.5,1799.8,15.36,ok
6373,1799.8,1809.7,9.92,ok
25783,1809.7,1829.0,19.25,ok
14203,1829.0,1836.2,7.16,ok
11964,1836.2,1843.6,7.4,ok
26660,1843.6,1855.6,12.01,ok
26486,1855.6,1865.7,10.11,ok
5794,1865.7,1891.0,25.28,ok
12102,1891.0,1892.2,1.22,ok
26425,1892.2,1902.8,10.55,ok
18038,1902.8,1920.7,17.94,ok
11512,1920.7,1938.2,17.44,ok
26283,1938.2,1955.8,17.67,ok
15092,1955.8,1956.8,0.98,ok
26741,1956.8,1969.5,12.68,ok
26805,1969.5,1995.9,26.4,ok
17817,1995.9,1996.8,0.85,ok
9876,1996.8,2010.6,13.84,ok
25585,2010.6,2026.3,15.7,ok
25305,2026.3,2041.6,15.27,ok
26673,1744.5,2053.2,308.68,ok
25445,2053.2,2081.5,28.26,ok
11482,2081.5,2082.6,1.08,ok
11063,1676.9,2097.2,420.3,ok
12950,2097.2,2098.2,0.99,ok
6531,2041.6,2130.4,88.75,ok
13216,2098.2,2141.3,43.07,ok
9614,2130.4,2158.5,28.14,ok
25409,2158.5,2171.7,13.2,ok
15077,2171.7,2183.8,12.12,ok
26263,2183.8,2194.9,11.05,ok
13132,2141.3,2207.0,65.7,ok
26368,2194.9,2212.6,17.67,ok
7587,2207.0,2223.4,16.41,ok
26608,2212.6,2233.0,20.43,ok
11769,2233.0,2239.9,6.92,ok
10601,2239.9,2246.7,6.76,ok
26243,2223.4,2254.2,30.73,ok
25470,2246.7,2258.1,11.37,ok
6388,2258.1,2273.5,15.42,ok
25714,2273.5,2282.6,9.11,ok
15906,1732.5,2288.6,556.12,ok
26040,2254.2,2316.6,62.4,ok
