qid,arrival,start,finish,runtime,status
14308,25.245,108.6,141.6,33.03,ok
4383,43.799,158.3,186.6,28.29,ok
26517,96.314,173.8,193.8,20.0,ok
4741,22.562,142.3,207.1,64.72,ok
25788,132.108,192.7,241.3,48.6,ok
10795,30.833,168.2,249.3,81.09,ok
17168,185.055,211.7,283.1,71.38,ok
26522,0.0,142.7,303.9,161.17,ok
25478,225.136,241.3,331.4,90.01,ok
9990,139.166,196.3,345.6,149.4,ok
10229,181.739,204.5,361.1,156.6,ok
7857,229.309,249.3,368.2,118.87,ok
14018,269.905,331.4,376.3,44.85,ok
25527,247.228,283.1,392.2,109.05,ok
3955,198.506,224.9,400.3,175.38,ok
26294,252.613,303.9,408.7,104.82,ok
26214,331.476,376.3,415.5,39.25,ok
14904,318.328,361.1,415.8,54.66,ok
26321,330.847,368.2,432.0,63.82,ok
11822,359.138,400.3,453.6,53.24,ok
26005,342.889,392.2,455.6,63.41,ok
26022,294.467,345.6,481.4,135.77,ok
26810,402.847,455.6,485.6,29.97,ok
12889,360.21,408.7,496.6,87.83,ok
25344,384.216,432.0,510.9,78.9,ok
26027,409.592,481.4,525.7,44.26,ok
7436,454.644,510.9,539.8,28.81,ok
15149,394.322,453.6,550.4,96.83,ok
10948,457.55,525.7,573.8,48.08,ok
25467,442.918,485.6,580.2,94.64,ok
17471,452.153,496.6,620.3,123.76,ok
25934,376.043,415.8,634.6,218.84,ok
11844,83.451,183.7,637.0,453.29,ok
14051,536.549,580.2,644.9,64.64,ok
26496,558.9,620.3,659.0,38.67,ok
25631,468.615,539.8,668.7,128.9,ok
7787,568.279,634.6,676.7,42.1,ok
25746,607.951,644.9,719.5,74.59,ok
26414,498.735,573.8,720.1,146.32,ok
6107,484.382,550.4,731.9,181.41,ok
12305,613.787,659.0,743.1,84.08,ok
11614,375.852,415.5,754.6,339.09,ok
9953,663.831,719.5,755.0,35.53,ok
26240,618.013,668.7,759.2,90.49,ok
16115,594.487,637.0,776.5,139.45,ok
14342,693.644,731.9,784.1,52.26,ok
26144,728.997,755.0,791.1,36.03,ok
7660,706.298,743.1,802.2,59.05,ok
12343,722.846,754.6,804.1,49.53,ok
22566,739.224,759.2,825.0,65.8,ok
26479,745.12,776.5,832.4,55.96,ok
15014,672.821,720.1,844.2,124.05,ok
26508,658.926,676.7,852.7,176.01,ok
9618,766.205,802.2,875.6,73.43,ok
26324,784.727,825.0,884.9,59.95,ok
17034,755.149,784.1,894.5,110.4,ok
11399,761.722,791.1,918.3,127.27,ok
25629,816.544,832.4,940.7,108.28,ok
4291,842.801,875.6,949.2,73.65,ok
17332,828.716,844.2,965.2,120.99,ok
26787,771.126,804.1,989.7,185.51,ok
15049,839.62,852.7,992.1,139.34,ok
5069,871.042,940.7,1007.1,66.36,ok
11334,866.919,918.3,1010.5,92.13,ok
14319,880.739,949.2,1051.3,102.1,ok
8198,908.32,989.7,1075.8,86.09,ok
10260,846.944,884.9,1083.0,198.07,ok
10001,913.808,1007.1,1084.9,77.86,ok
11729,854.768,894.5,1091.5,196.98,ok
26256,908.581,992.1,1103.7,111.59,ok
15243,921.581,1010.5,1115.0,104.58,ok
3924,925.763,1051.3,1133.7,82.32,ok
26658,899.403,965.2,1137.2,172.01,ok
25469,942.121,1075.8,1139.9,64.15,ok
25882,1052.84,1103.7,1171.2,67.54,ok
25577,961.122,1084.9,1173.1,88.11,ok
15474,1080.404,1137.2,1178.9,41.61,ok
13237,1064.83,1115.0,1190.0,74.98,ok
10073,1071.334,1133.7,1203.5,69.81,ok
15010,967.44,1091.5,1206.6,115.09,ok
26456,1085.897,1139.9,1225.4,85.47,ok
11810,1089.828,1171.2,1229.0,57.73,ok
11968,1114.678,1178.9,1321.4,142.55,ok
25397,949.028,1083.0,1337.4,254.36,ok
5765,1197.829,1206.6,1342.4,135.82,ok
9173,1135.051,1190.0,1359.7,169.6,ok
15348,1180.253,1203.5,1399.8,196.35,ok
25498,1201.018,1225.4,1414.7,189.31,ok
8793,1239.357,1337.4,1429.0,91.6,ok
26718,1260.777,1342.4,1442.6,100.16,ok
11082,1225.999,1321.4,1451.1,129.67,ok
26710,1221.144,1229.0,1457.9,228.92,ok
