qid,arrival,start,finish,runtime,status,predicted_slowdown
14308,25.245,40.0,77.5,37.51,ok,2.007
4383,43.799,83.3,91.5,8.21,ok,2.681
4741,22.562,43.7,101.5,57.78,ok,0.706
26517,96.314,131.9,134.1,2.24,ok,0.345
25788,132.108,134.1,147.7,13.58,ok,0.825
10795,30.833,113.6,198.7,85.04,ok,2.568
26522,0.0,99.0,263.8,164.82,ok,0.98
9990,139.166,181.7,277.5,95.77,ok,2.602
3955,198.506,198.7,288.9,90.2,ok,1.382
25478,225.136,277.6,293.9,16.27,ok,0.724
26294,252.613,263.9,308.4,44.53,ok,0.677
10229,181.739,293.9,324.4,30.47,ok,1.586
25527,247.228,324.4,337.3,12.84,ok,2.155
26214,331.476,337.3,345.7,8.38,ok,1.265
17168,185.055,289.0,355.0,66.0,ok,1.737
26321,330.847,355.0,367.5,12.48,ok,0.785
26005,342.889,345.8,374.9,29.1,ok,0.971
7857,229.309,367.6,385.3,17.73,ok,0.797
12889,360.21,374.9,396.9,21.93,ok,0.864
26022,294.467,308.5,404.6,96.13,ok,1.174
25344,384.216,396.9,416.5,19.53,ok,1.001
14018,269.905,416.5,422.2,5.7,ok,1.89
11822,359.138,422.3,439.4,17.1,ok,3.392
14904,318.328,439.4,450.4,11.0,ok,3.764
25934,376.043,404.7,453.3,48.64,ok,1.624
26810,402.847,453.3,467.9,14.56,ok,5.084
15149,394.322,450.5,478.0,27.52,ok,3.697
10948,457.55,468.0,487.9,19.89,ok,3.726
25631,468.615,487.9,515.7,27.81,ok,1.997
25467,442.918,478.0,538.1,60.08,ok,0.867
26414,498.735,515.8,547.4,31.66,ok,2.223
26027,409.592,547.5,568.1,20.62,ok,1.501
6107,484.382,538.2,595.7,57.53,ok,0.78
11844,83.451,155.9,596.1,440.19,ok,1.348
17471,452.153,568.2,608.4,40.22,ok,1.846
7436,454.644,595.8,609.0,13.24,ok,3.011
11614,375.852,385.4,622.2,236.85,ok,0.881
14051,536.549,596.1,623.5,27.43,ok,6.205
7787,568.279,608.4,631.4,22.94,ok,2.124
26496,558.9,609.0,644.7,35.67,ok,3.592
12305,613.787,636.3,671.7,35.34,ok,6.937
26240,618.013,658.8,689.2,30.44,ok,11.05
25746,607.951,637.6,691.3,53.69,ok,1.768
9953,663.831,689.3,721.0,31.72,ok,1.164
7660,706.298,721.0,737.2,16.24,ok,2.228
26144,728.997,737.3,742.5,5.23,ok,2.017
22566,739.224,742.5,758.9,16.4,ok,2.432
26479,745.12,759.0,772.0,13.03,ok,2.407
