qid,arrival,start,finish,runtime,status
4741,22.562,23.3,94.7,71.38,ok
14308,25.245,94.7,109.4,14.69,ok
26522,0.0,19.8,132.7,112.91,ok
4383,43.799,132.7,141.0,8.36,ok
10795,30.833,109.4,143.3,33.9,ok
26517,96.314,143.3,145.1,1.84,ok
25788,132.108,145.1,152.6,7.48,ok
9990,139.166,181.7,185.7,3.99,ok
10229,181.739,185.7,197.2,11.52,ok
17168,185.055,197.2,217.3,20.1,ok
3955,198.506,225.0,257.1,32.11,ok
25478,225.136,257.1,268.9,11.78,ok
7857,229.309,268.9,284.3,15.35,ok
25527,247.228,284.3,294.7,10.43,ok
26294,252.613,294.7,310.3,15.56,ok
14018,269.905,310.3,315.9,5.56,ok
11844,83.451,177.9,326.5,148.63,ok
14904,318.328,326.5,328.2,1.7,ok
26022,294.467,315.9,341.4,25.51,ok
26214,331.476,341.4,349.9,8.55,ok
26321,330.847,331.2,350.0,18.79,ok
11822,359.138,359.6,380.3,20.69,ok
26005,342.889,358.6,382.3,23.69,ok
12889,360.21,380.3,397.4,17.05,ok
11614,375.852,382.3,416.9,34.64,ok
25934,376.043,397.4,423.6,26.19,ok
25344,384.216,416.9,433.7,16.77,ok
26810,402.847,433.7,443.3,9.64,ok
15149,394.322,423.6,459.4,35.82,ok
26027,409.592,443.3,466.7,23.41,ok
17471,452.153,466.7,484.8,18.06,ok
7436,454.644,484.8,494.8,10.01,ok
10948,457.55,494.8,499.3,4.44,ok
25467,442.918,459.4,517.1,57.66,ok
25631,468.615,499.3,539.6,40.36,ok
6107,484.382,517.1,574.2,57.2,ok
26414,498.735,539.6,579.6,39.95,ok
14051,536.549,574.2,579.7,5.5,ok
26496,558.9,594.2,610.1,15.94,ok
7787,568.279,594.3,621.9,27.55,ok
25746,607.951,621.9,635.5,13.59,ok
16115,594.487,610.1,644.0,33.92,ok
12305,613.787,650.1,664.3,14.15,ok
26240,618.013,658.7,670.3,11.63,ok
9953,663.831,670.3,686.5,16.19,ok
26508,658.926,671.4,724.1,52.77,ok
15014,672.821,693.6,724.8,31.24,ok
7660,706.298,724.8,735.6,10.76,ok
14342,693.644,724.1,737.8,13.63,ok
12343,722.846,735.6,742.8,7.16,ok
26144,728.997,737.8,747.2,9.45,ok
26479,745.12,755.0,769.2,14.19,ok
22566,739.224,750.6,782.1,31.52,ok
17034,755.149,769.2,801.8,32.55,ok
11399,761.722,782.1,812.5,30.43,ok
9618,766.205,801.8,825.3,23.55,ok
26324,784.727,825.3,833.8,8.49,ok
26787,771.126,812.5,860.8,48.26,ok
25629,816.544,833.8,868.6,34.73,ok
17332,828.716,860.8,894.9,34.1,ok
4291,842.801,894.9,904.3,9.39,ok
15049,839.62,868.6,904.8,36.2,ok
10260,846.944,904.3,954.5,50.24,ok
11729,854.768,904.8,957.1,52.37,ok
11334,866.919,954.5,967.9,13.42,ok
5069,871.042,957.1,969.6,12.46,ok
14319,880.739,967.9,995.9,27.96,ok
8198,908.32,995.9,1017.0,21.09,ok
26658,899.403,969.6,1019.3,49.64,ok
10001,913.808,1019.3,1038.8,19.55,ok
26256,908.581,1017.0,1039.0,21.97,ok
15243,921.581,1038.8,1050.1,11.32,ok
3924,925.763,1039.0,1055.5,16.46,ok
25469,942.121,1050.1,1059.8,9.61,ok
25577,961.122,1059.8,1074.2,14.45,ok
15010,967.44,1074.2,1111.2,37.02,ok
25882,1052.84,1111.2,1131.8,20.58,ok
13237,1064.83,1131.8,1153.9,22.03,ok
25397,949.028,1055.5,1164.1,108.64,ok
10073,1071.334,1153.9,1164.6,10.77,ok
26456,1085.897,1164.6,1175.6,10.94,ok
11810,1089.828,1175.6,1176.9,1.33,ok
15474,1080.404,1164.1,1198.9,34.73,ok
11968,1114.678,1198.9,1250.4,51.45,ok
26115,1108.991,1176.9,1293.6,116.68,ok
9173,1135.051,1250.4,1311.2,60.86,ok
5765,1197.829,1311.2,1316.0,4.74,ok
15348,1180.253,1293.6,1332.0,38.42,ok
25498,1201.018,1316.0,1358.4,42.35,ok
26710,1221.144,1332.0,1383.3,51.28,ok
11082,1225.999,1358.4,1383.3,24.96,ok
8793,1239.357,1383.3,1395.8,12.53,ok
