qid,arrival,start,finish,runtime,status,predicted_slowdown
14308,25.245,112.0,143.1,31.09,ok,1.791
4383,43.799,158.8,184.8,26.07,ok,5.393
26517,96.314,170.8,193.4,22.53,ok,0.72
25788,132.108,176.9,204.6,27.72,ok,2.16
4741,22.562,168.1,231.6,63.44,ok,1.491
10795,30.833,176.1,247.2,71.07,ok,2.749
9990,139.166,202.2,252.3,50.1,ok,5.297
10229,181.739,210.3,270.5,60.19,ok,7.864
25478,225.136,231.7,287.7,56.03,ok,5.161
7857,229.309,253.9,316.4,62.53,ok,7.127
11844,83.451,196.8,323.5,126.68,ok,3.754
25527,247.228,266.3,341.9,75.59,ok,7.227
17168,185.055,232.7,358.5,125.85,ok,5.596
14018,269.905,301.6,364.0,62.36,ok,9.19
26294,252.613,284.4,383.7,99.22,ok,3.889
26214,331.476,358.6,395.3,36.68,ok,6.353
26022,294.467,323.7,396.5,72.77,ok,2.288
14904,318.328,330.8,408.4,77.56,ok,18.281
26321,330.847,341.9,414.1,72.19,ok,5.711
3955,198.506,238.9,422.6,183.73,ok,2.633
26005,342.889,364.1,455.1,91.04,ok,6.27
25934,376.043,396.6,461.2,64.63,ok,6.362
25344,384.216,395.5,471.7,76.24,ok,5.121
26522,0.0,164.5,476.2,311.72,ok,0.96
11822,359.138,408.5,488.3,79.79,ok,5.322
26810,402.847,461.4,500.9,39.51,ok,5.132
12889,360.21,414.3,517.0,102.76,ok,5.364
26027,409.592,455.3,530.3,75.03,ok,5.002
15149,394.322,422.7,550.7,127.93,ok,5.532
17471,452.153,476.4,588.8,112.42,ok,5.574
11614,375.852,383.8,597.9,214.1,ok,5.093
7436,454.644,530.4,621.2,90.75,ok,4.852
25631,468.615,471.9,624.2,152.34,ok,3.179
26496,558.9,588.9,644.4,55.44,ok,4.655
25467,442.918,517.1,648.8,131.62,ok,4.44
10948,457.55,550.7,653.6,102.84,ok,6.482
6107,484.382,493.6,670.3,176.77,ok,4.013
7787,568.279,603.1,676.1,72.99,ok,6.324
26414,498.735,506.1,682.2,176.01,ok,4.215
14051,536.549,665.3,699.0,33.75,ok,8.155
12305,613.787,677.3,713.3,35.98,ok,11.378
26240,618.013,657.4,731.5,74.12,ok,5.975
25746,607.951,677.5,739.4,61.92,ok,6.124
9953,663.831,710.1,750.4,40.32,ok,9.292
16115,594.487,654.3,767.2,112.83,ok,5.731
26144,728.997,731.6,774.2,42.68,ok,10.044
14342,693.644,715.6,777.3,61.68,ok,15.713
22566,739.224,739.5,799.3,59.71,ok,8.879
7660,706.298,722.6,807.9,85.3,ok,7.228
26479,745.12,750.5,818.7,68.24,ok,8.037
15014,672.821,704.1,824.4,120.29,ok,5.984
26508,658.926,698.3,869.0,170.69,ok,2.695
17034,755.149,767.3,877.4,110.1,ok,8.249
26324,784.727,799.4,878.4,79.0,ok,8.56
9618,766.205,808.0,901.8,93.75,ok,8.088
11399,761.722,777.4,907.7,130.25,ok,6.433
26787,771.126,774.4,926.8,152.44,ok,6.386
25629,816.544,818.8,927.7,108.86,ok,6.036
12343,722.846,824.4,931.3,106.87,ok,7.222
5069,871.042,878.5,958.6,80.09,ok,4.972
17332,828.716,869.2,987.3,118.04,ok,5.655
15049,839.62,927.1,1038.2,111.07,ok,4.535
4291,842.801,927.9,1046.9,118.99,ok,5.139
26658,899.403,901.9,1059.7,157.75,ok,4.186
10260,846.944,877.7,1070.3,192.66,ok,5.841
11729,854.768,907.8,1079.0,171.19,ok,4.468
3924,925.763,987.5,1084.6,97.03,ok,4.488
26256,908.581,931.5,1117.0,185.54,ok,5.527
8198,908.32,1047.1,1122.7,75.43,ok,4.68
15474,1080.404,1084.8,1122.9,38.07,ok,3.655
10001,913.808,1079.3,1141.7,62.35,ok,3.676
25469,942.121,1070.6,1150.0,79.47,ok,3.811
26456,1085.897,1117.4,1164.0,46.62,ok,2.167
14319,880.739,1038.4,1165.5,127.03,ok,3.654
25882,1052.84,1123.4,1188.1,64.68,ok,3.592
15010,967.44,1060.0,1189.3,129.29,ok,4.02
25577,961.122,1141.9,1209.4,67.52,ok,3.364
11334,866.919,1164.2,1231.8,67.59,ok,3.955
25397,949.028,958.9,1315.8,356.98,ok,2.309
9173,1135.051,1150.3,1324.9,174.63,ok,3.82
11968,1114.678,1165.6,1335.7,170.02,ok,4.326
15243,921.581,1189.4,1347.3,157.89,ok,5.701
13237,1064.83,1188.3,1359.2,170.91,ok,4.672
10073,1071.334,1316.1,1382.7,66.56,ok,3.914
15348,1180.253,1209.6,1409.8,200.23,ok,6.937
26710,1221.144,1232.1,1435.2,203.15,ok,3.873
5765,1197.829,1347.5,1440.3,92.87,ok,4.386
25498,1201.018,1325.1,1447.0,121.88,ok,4.734
2895,1274.402,1359.4,1460.9,101.44,ok,4.514
8793,1239.357,1410.2,1462.3,52.1,ok,3.65
11082,1225.999,1335.9,1463.4,127.51,ok,5.085
11810,1089.828,1382.9,1466.3,83.42,ok,3.86
26115,1108.991,1123.2,1478.6,355.39,ok,2.115
26718,1260.777,1435.6,1497.8,62.28,ok,3.577
25977,1404.885,1447.3,1522.8,75.41,ok,4.34
8812,1399.703,1463.7,1544.3,80.63,ok,4.711
12050,1398.163,1498.2,1551.1,52.9,ok,5.025
9057,1372.268,1462.6,1564.3,101.77,ok,4.597
22624,1448.145,1478.8,1572.9,94.03,ok,5.228
15326,1360.283,1551.3,,38.29,oom,3.771
15150,1486.153,1573.2,,16.46,oom,4.067
15697,1484.344,1564.7,,24.95,oom,3.547
26245,1365.553,1461.2,,128.41,oom,4.206
25259,1333.47,1440.6,,148.99,oom,3.885
26281,1463.381,1466.6,,123.05,oom,2.456
13805,1398.862,1544.6,,45.02,oom,3.711
11555,1500.943,1523.1,,66.54,oom,3.536
17182,1485.968,1589.8,,0.01,oom,3.218
26327,1491.171,1589.8,,0.01,oom,0.789
25824,1562.058,1589.9,,0.0,oom,1.119
14438,1377.667,1589.9,,0.01,oom,0.738
25435,1396.133,1589.9,,0.01,oom,0.612
8569,1507.192,1589.9,,0.01,oom,2.552
25425,1557.693,1589.9,,0.01,oom,2.418
25885,1591.735,1634.4,1662.7,28.33,ok,0.94
26752,1594.566,1680.8,1723.4,42.69,ok,1.93
24675,1604.718,1685.8,1731.8,45.98,ok,1.955
26112,1725.03,1731.8,1756.7,24.83,ok,3.176
26276,1637.489,1701.8,1758.0,56.17,ok,7.955
