qid,arrival,start,finish,runtime,status
25709,0.0,25.8,46.2,20.46,ok
16989,28.562,29.3,62.7,33.43,ok
7670,38.276,62.7,103.6,40.9,ok
10322,45.349,103.6,119.0,15.38,ok
16367,82.689,119.0,142.7,23.77,ok
10765,114.306,176.4,181.3,4.86,ok
25646,176.67,181.3,195.9,14.6,ok
13935,179.217,195.9,197.1,1.24,ok
17391,194.562,197.1,244.9,47.83,ok
11919,195.409,244.9,253.3,8.35,ok
3676,202.317,253.3,368.3,115.02,ok
14904,222.027,368.3,369.2,0.93,ok
25250,222.78,369.2,433.1,63.9,ok
25420,228.987,433.1,450.8,17.7,ok
16761,258.373,450.8,492.1,41.25,ok
25678,280.418,492.1,511.7,19.66,ok
10458,287.391,511.7,522.1,10.38,ok
25576,312.306,522.1,527.4,5.23,ok
7234,29.271,79.9,639.7,559.82,ok
15503,358.905,639.7,731.3,91.52,ok
25756,404.796,731.3,740.3,8.98,ok
13712,358.722,527.4,767.8,240.4,ok
13920,438.334,740.3,768.2,27.95,ok
15877,449.979,767.8,772.5,4.69,ok
25271,454.711,768.2,777.1,8.9,ok
25249,554.444,777.1,785.7,8.58,ok
16115,542.953,772.5,797.1,24.62,ok
14114,560.017,797.1,799.2,2.12,ok
25699,612.673,799.2,842.4,43.21,ok
25300,638.591,842.4,851.9,9.47,ok
8332,684.671,851.9,854.3,2.45,ok
25773,721.305,854.3,867.3,12.94,ok
18783,557.169,785.7,867.6,81.65,ok
16586,742.819,867.3,873.3,5.91,ok
7777,844.073,874.2,885.3,11.09,ok
14183,857.392,924.0,1029.6,105.63,ok
23615,879.877,929.4,1029.6,100.26,ok
25533,929.394,1029.6,1042.9,13.24,ok
15020,1011.772,1042.9,1045.5,2.63,ok
10521,956.378,1054.1,1074.7,20.58,ok
12860,1070.028,1074.7,1081.9,7.19,ok
10533,1035.886,1070.0,1085.5,15.53,ok
11927,1078.583,1085.5,1106.0,20.52,ok
15832,1088.149,1106.0,1108.2,2.13,ok
25701,1071.341,1081.9,1112.1,30.18,ok
11829,1097.897,1112.1,1116.9,4.73,ok
25753,1090.477,1108.2,1119.9,11.68,ok
11565,1100.878,1135.2,1147.5,12.3,ok
11082,1138.27,1147.5,1178.9,31.47,ok
15024,1150.978,1178.9,1181.8,2.81,ok
9179,1163.923,1181.8,1189.4,7.64,ok
10172,1170.506,1189.4,1201.1,11.67,ok
11959,1179.202,1256.3,1288.2,31.96,ok
14823,1256.459,1288.2,1297.9,9.67,ok
22761,1285.697,1311.7,1346.3,34.5,ok
25386,1312.0,1346.3,1352.6,6.31,ok
25682,1317.255,1352.6,1372.3,19.77,ok
25623,1109.998,1207.2,1440.5,233.34,ok
22018,1358.822,1440.5,1446.0,5.53,ok
12297,1353.826,1426.0,1504.4,78.39,ok
13292,1499.823,1523.4,1553.0,29.63,ok
25321,1528.429,1553.0,1581.2,28.17,ok
14371,1551.223,1581.2,1597.9,16.52,ok
14099,1583.534,1635.2,1654.4,19.19,ok
20307,1372.182,1578.7,1727.6,148.89,ok
13673,1677.241,1727.6,1729.5,1.89,ok
10155,1684.525,1729.5,1751.4,21.92,ok
6725,1635.35,1677.0,1758.1,81.01,ok
12118,1685.438,1751.4,1781.8,29.72,ok
10342,1704.776,1781.8,,14.53,oom
10015,1696.05,1758.1,,38.28,oom
13162,1711.411,1850.1,,0.05,oom
16525,1791.578,1850.1,,0.05,oom
16969,1860.691,1887.4,1897.3,9.89,ok
7254,1890.524,1904.4,1921.8,17.47,ok
12610,1850.111,1942.9,2022.0,79.14,ok
7186,1973.499,2022.0,2025.7,3.64,ok
25508,1904.624,1973.3,2040.9,67.58,ok
10696,1990.692,2025.7,2045.0,19.3,ok
7497,1999.309,2040.9,2056.6,15.68,ok
25762,2007.238,2045.0,2063.7,18.71,ok
17018,2030.313,2056.6,2074.7,18.17,ok
11878,2038.848,2116.1,2150.0,33.98,ok
12102,2127.314,2150.0,2175.2,25.11,ok
25687,2141.59,2175.2,2184.8,9.67,ok
5254,2063.445,2258.9,2323.4,64.49,ok
