query_order,qid,arrival_time_s,estimated_runtime_s
0,25709,0.000,
1,16989,28.562,
2,7234,29.271,
3,7670,38.276,
4,10322,45.349,
5,16367,82.689,
6,10765,114.306,
7,25646,176.670,
8,13935,179.217,
9,17391,194.562,
10,11919,195.409,
11,3676,202.317,
12,14904,222.027,
13,25250,222.780,
14,25420,228.987,
15,16761,258.373,
16,25678,280.418,
17,10458,287.391,
18,25576,312.306,
19,13712,358.722,
20,15503,358.905,
21,25756,404.796,
22,13920,438.334,
23,15877,449.979,
24,25271,454.711,
25,16115,542.953,
26,25249,554.444,
27,18783,557.169,
28,14114,560.017,
29,25699,612.673,
30,25300,638.591,
31,8332,684.671,
32,25773,721.305,
33,16586,742.819,
34,7777,844.073,
35,14183,857.392,
36,23615,879.877,
37,25533,929.394,
38,10521,956.378,
39,15020,1011.772,
40,10533,1035.886,
41,12860,1070.028,
42,25701,1071.341,
43,11927,1078.583,
44,15832,1088.149,
45,25753,1090.477,
46,11829,1097.897,
47,11565,1100.878,
48,25623,1109.998,
49,11082,1138.270,
50,15024,1150.978,
51,9179,1163.923,
52,10172,1170.506,
53,11959,1179.202,
54,14823,1256.459,
55,22761,1285.697,
56,25386,1312.000,
57,25682,1317.255,
58,12297,1353.826,
59,22018,1358.822,
60,20307,1372.182,
61,13292,1499.823,
62,25321,1528.429,
63,14371,1551.223,
64,14099,1583.534,
65,6725,1635.350,
66,13673,1677.241,
67,10155,1684.525,
68,12118,1685.438,
69,10015,1696.050,
70,10342,1704.776,
71,13162,1711.411,
72,16525,1791.578,
73,12610,1850.111,
74,16969,1860.691,
75,7254,1890.524,
76,25508,1904.624,
77,7186,1973.499,
78,10696,1990.692,
79,7497,1999.309,
80,25762,2007.238,
81,17018,2030.313,
82,11878,2038.848,
83,5254,2063.445,
84,12102,2127.314,
85,25687,2141.590,
86,7400,2148.522,
87,13216,2316.707,
88,17922,2336.654,
89,10211,2339.323,
90,25454,2340.674,
91,12183,2343.926,
92,15014,2371.573,
93,17693,2415.549,
94,10330,2430.906,
95,8046,2432.744,
96,14607,2446.202,
97,25083,2601.666,
98,13282,2622.754,
99,5532,2721.963,
100,25389,2777.170,
101,13074,2777.493,
102,8282,2813.209,
103,8474,2845.263,
104,25048,2866.822,
105,9000,2875.512,
106,8156,2904.193,
107,25574,2907.505,
108,13127,2923.480,
109,17650,2940.409,
110,3585,3026.513,
111,12388,3084.929,
112,15172,3093.488,
113,10259,3112.929,
114,14239,3118.440,
115,4399,3186.692,
116,13485,3243.930,
117,19122,3253.855,
118,12518,3282.380,
119,11559,3308.671,
120,17175,3313.315,
121,14854,3353.569,
122,25373,3375.274,
123,12083,3417.495,
124,22013,3438.657,
125,13586,3438.673,
126,4601,3449.643,
127,25486,3450.194,
128,8624,3524.295,
129,17169,3583.365,
130,6292,3633.256,
131,5085,3643.545,
132,6703,3645.216,
133,14034,3704.123,
134,23393,3786.345,
135,25752,3788.852,
136,11952,3807.486,
137,10614,3809.495,
138,13940,3849.524,
