qid,start,finish,runtime,status
10795,0.0,114.7,114.65,ok
14308,0.0,114.7,114.72,ok
4741,0.0,115.3,115.28,ok
26517,0.0,131.0,130.98,ok
25788,0.0,135.3,135.29,ok
4383,0.0,137.9,137.86,ok
26522,0.0,139.1,139.1,ok
9990,114.7,189.1,74.38,ok
10229,114.7,189.5,74.76,ok
17168,115.3,214.2,98.88,ok
25478,135.3,225.9,90.63,ok
25527,139.1,240.9,101.72,ok
3955,131.0,243.1,112.1,ok
14018,189.5,258.0,68.46,ok
7857,137.9,279.6,141.7,ok
26214,243.1,291.6,48.43,ok
26294,189.1,295.5,106.47,ok
26321,240.9,308.1,67.23,ok
14904,225.9,314.4,88.4,ok
11822,279.6,337.2,57.55,ok
26005,258.0,338.0,79.96,ok
12889,291.6,361.3,69.72,ok
26810,338.0,374.6,36.59,ok
25344,314.4,389.3,74.95,ok
15149,337.2,401.4,64.24,ok
26027,361.3,423.9,62.64,ok
7436,401.4,425.0,23.62,ok
17471,389.3,457.7,68.37,ok
25467,374.6,460.4,85.82,ok
26022,214.2,474.2,260.03,ok
10948,423.9,478.0,54.06,ok
25631,425.0,484.4,59.35,ok
26496,478.0,499.7,21.73,ok
7787,484.4,516.7,32.28,ok
14051,474.2,522.0,47.73,ok
25746,516.7,539.0,22.26,ok
12305,522.0,571.1,49.07,ok
16115,499.7,571.9,72.18,ok
25934,308.1,586.7,278.59,ok
26414,460.4,587.6,127.21,ok
9953,571.9,591.5,19.61,ok
11844,0.0,,600,timeout
6107,457.7,600.9,143.19,ok
26240,539.0,606.7,67.69,ok
11614,295.5,612.3,316.79,ok
14342,587.6,625.0,37.39,ok
12343,600.1,628.7,28.58,ok
26144,600.9,638.2,37.34,ok
7660,591.5,657.2,65.65,ok
22566,606.7,668.5,61.79,ok
15014,586.7,675.0,88.3,ok
26479,612.3,684.4,72.1,ok
26508,571.1,703.2,132.18,ok
9618,638.2,707.3,69.06,ok
26324,668.5,719.8,51.3,ok
17034,625.0,742.2,117.15,ok
11399,628.7,765.7,137.03,ok
25629,675.0,778.4,103.41,ok
4291,707.3,787.7,80.36,ok
17332,684.4,810.3,125.82,ok
15049,703.2,837.3,134.08,ok
26787,657.2,838.5,181.33,ok
5069,778.4,853.0,74.59,ok
11334,765.7,865.3,99.58,ok
14319,787.7,895.1,107.42,ok
10260,719.8,915.3,195.49,ok
8198,837.3,917.1,79.8,ok
10001,853.0,922.9,69.83,ok
11729,742.2,930.5,188.3,ok
15243,865.3,939.8,74.48,ok
3924,895.1,965.5,70.4,ok
26256,838.5,968.6,130.1,ok
25469,915.3,968.6,53.37,ok
25577,922.9,999.2,76.35,ok
25882,939.8,1001.9,62.04,ok
15474,968.6,1015.8,47.13,ok
26658,810.3,1022.1,211.81,ok
13237,965.5,1033.5,68.01,ok
10073,968.6,1041.8,73.15,ok
15010,930.5,1048.4,117.93,ok
26456,999.2,1058.6,59.43,ok
11810,1001.9,1062.4,60.57,ok
11968,1022.1,1163.9,141.88,ok
9173,1033.5,1183.6,150.08,ok
5765,1048.4,1188.2,139.8,ok
25397,917.1,1199.8,282.66,ok
15348,1041.8,1242.7,200.89,ok
25498,1058.6,1258.2,199.55,ok
8793,1183.6,1270.7,87.12,ok
26718,1188.2,1285.0,96.8,ok
26710,1062.4,1289.4,226.96,ok
11082,1163.9,1298.6,134.68,ok
2895,1199.8,1308.4,108.54,ok
26115,1015.8,1314.7,298.9,ok
15326,1258.2,1331.6,73.36,ok
14438,1289.4,1347.4,58.04,ok
12050,1308.4,1354.6,46.23,ok
9057,1285.0,1355.6,70.59,ok
13805,1314.7,1378.4,63.65,ok
8812,1331.6,1393.7,62.14,ok
26245,1270.7,1409.4,138.72,ok
25259,1242.7,1428.0,185.3,ok
25435,1298.6,1428.3,129.7,ok
15697,1378.4,1447.5,69.12,ok
22624,1354.6,1447.5,92.92,ok
26327,1428.0,1469.1,41.17,ok
25977,1347.4,1470.6,123.18,ok
8569,1447.5,1493.6,46.12,ok
25425,1447.5,1510.7,63.17,ok
25824,1469.1,1529.5,60.32,ok
26281,1355.6,1529.8,174.17,ok
11555,1428.3,1531.2,102.86,ok
25885,1470.6,1540.8,70.23,ok
17182,1393.7,1549.0,155.31,ok
26752,1510.7,1562.7,52.05,ok
24675,1529.5,1575.2,45.74,ok
15150,1409.4,1585.3,175.83,ok
11800,1529.8,1603.4,73.66,ok
26276,1540.8,1609.5,68.63,ok
10075,1493.6,1611.6,118.01,ok
6836,1585.3,1628.2,42.93,ok
25715,1562.7,1631.3,68.51,ok
25320,1549.0,1649.2,100.15,ok
26112,1603.4,1662.8,59.42,ok
19186,1575.2,1670.9,95.66,ok
18604,1531.2,1674.4,143.17,ok
14738,1609.5,1678.5,69.0,ok
26813,1611.6,1696.7,85.12,ok
15832,1631.3,1705.2,73.93,ok
26210,1628.2,1711.6,83.38,ok
25315,1670.9,1721.5,50.67,ok
26382,1678.5,1729.5,51.06,ok
14674,1696.7,1739.2,42.45,ok
25871,1674.4,1748.2,73.82,ok
26439,1705.2,1757.0,51.83,ok
26783,1721.5,1769.5,47.95,ok
26067,1729.5,1785.2,55.73,ok
14075,1757.0,1786.6,29.52,ok
26720,1785.2,1800.2,14.94,ok
17875,1662.8,1816.6,153.78,ok
9000,1739.2,1831.1,91.92,ok
16495,1649.2,1832.3,183.14,ok
6373,1831.1,1843.5,12.36,ok
10322,1816.6,1868.1,51.48,ok
18656,1800.2,1872.7,72.53,ok
25783,1832.3,1878.8,46.52,ok
26025,1748.2,1883.2,134.95,ok
14203,1843.5,1898.7,55.16,ok
11964,1868.1,1901.5,33.36,ok
26660,1872.7,1915.2,42.47,ok
11063,1711.6,1923.3,211.74,ok
15906,1769.5,1925.2,155.73,ok
12102,1898.7,1926.8,28.18,ok
26486,1878.8,1928.7,49.81,ok
26673,1786.6,1938.2,151.67,ok
26425,1901.5,1941.0,39.49,ok
11512,1923.3,1951.5,28.21,ok
26283,1925.2,1965.2,39.98,ok
15092,1926.8,1976.6,49.73,ok
26805,1938.2,1985.6,47.41,ok
26741,1928.7,1985.7,56.99,ok
9876,1951.5,2001.2,49.69,ok
17817,1941.0,2005.6,64.57,ok
25585,1965.2,2010.5,45.31,ok
25305,1976.6,2014.1,37.51,ok
6531,1985.6,2018.3,32.62,ok
18038,1915.2,2022.6,107.42,ok
5794,1883.2,2025.4,142.22,ok
11482,2001.2,2041.8,40.53,ok
12950,2010.5,2053.3,42.78,ok
10319,2005.6,2056.1,50.59,ok
9614,2018.3,2074.5,56.25,ok
25445,1985.7,2087.4,101.77,ok
25409,2025.4,2096.3,70.88,ok
15077,2041.8,2101.4,59.61,ok
26263,2053.3,2112.2,58.94,ok
26368,2056.1,2127.9,71.7,ok
7587,2074.5,2139.9,65.37,ok
26243,2096.3,2146.4,50.17,ok
11769,2101.4,2161.6,60.22,ok
26608,2087.4,2163.6,76.13,ok
10601,2112.2,2174.2,61.94,ok
25470,2127.9,2180.2,52.34,ok
6388,2146.4,2198.4,51.98,ok
25714,2161.6,2203.2,41.62,ok
13132,2022.6,2227.5,204.82,ok
10087,2163.6,2241.5,77.9,ok
25324,2198.4,2246.5,48.09,ok
26040,2139.9,2266.3,126.38,ok
13216,2014.1,2275.9,261.85,ok
20054,2174.2,2284.9,110.76,ok
25384,2203.2,2304.7,101.45,ok
13012,2180.2,2305.0,124.85,ok
11778,2227.5,2305.8,78.35,ok
18011,2241.5,2327.3,85.83,ok
13458,2266.3,2328.7,62.48,ok
8309,2275.9,2331.5,55.57,ok
25804,2305.0,2345.0,40.0,ok
17856,2284.9,2347.9,62.97,ok
15078,2304.7,2350.7,46.02,ok
11439,2327.3,2364.4,37.11,ok
7073,2246.5,2384.7,138.2,ok
12982,2345.0,2392.3,47.3,ok
5114,2305.8,2394.1,88.25,ok
26520,2328.7,2423.0,94.22,ok
26637,2364.4,2434.9,70.54,ok
13640,2350.7,2439.8,89.08,ok
7565,2347.9,2466.8,118.88,ok
25968,2394.1,2476.5,82.36,ok
26614,2423.0,2490.2,67.26,ok
12381,2392.3,2506.7,114.38,ok
26373,2439.8,2518.8,79.04,ok
9421,2434.9,2568.8,133.9,ok
26749,2384.7,2584.3,199.58,ok
12849,2331.5,2592.0,260.54,ok
26668,2476.5,2594.9,118.38,ok
26165,2518.8,2615.7,96.88,ok
25648,2490.2,2620.2,129.99,ok
12518,2466.8,2638.4,171.56,ok
25937,2568.8,2641.1,72.29,ok
9547,2506.7,2678.1,171.37,ok
26201,2594.9,2691.8,96.96,ok
15015,2638.4,2713.7,75.31,ok
23470,2620.2,2728.7,108.49,ok
26353,2592.0,2729.1,137.11,ok
10538,2641.1,2731.2,90.02,ok
26712,2691.8,2736.9,45.08,ok
25712,2713.7,2739.6,25.89,ok
11598,2615.7,2763.5,147.79,ok
25464,2728.7,2804.2,75.46,ok
18457,2736.9,2828.6,91.66,ok
25752,2729.1,2841.1,111.95,ok
4399,2739.6,2848.1,108.55,ok
14451,2678.1,2853.3,175.26,ok
10109,2731.2,2863.1,131.9,ok
10506,2841.1,2901.5,60.42,ok
10653,2828.6,2923.8,95.22,ok
25279,2763.5,2930.7,167.22,ok
4693,2863.1,2942.9,79.86,ok
4601,2853.3,2964.4,111.07,ok
16494,2804.2,2981.4,177.23,ok
14569,2901.5,2998.4,96.85,ok
7488,2930.7,3001.3,70.63,ok
25834,2981.4,3010.1,28.67,ok
25545,2998.4,3037.0,38.64,ok
7559,2848.1,3043.0,194.87,ok
26426,2964.4,3051.9,87.43,ok
25831,3010.1,3060.8,50.71,ok
8925,3037.0,3073.8,36.79,ok
26818,3043.0,3076.7,33.67,ok
11028,3051.9,3110.7,58.88,ok
17922,2942.9,3114.3,171.4,ok
17970,3060.8,3116.9,56.11,ok
26382,3110.7,3137.6,26.83,ok
26276,3114.3,3144.2,29.86,ok
23711,2923.8,3150.6,226.85,ok
10601,3116.9,3154.3,37.33,ok
7857,3144.2,3172.3,28.11,ok
7609,3001.3,3184.2,182.82,ok
3609,2584.3,,600,timeout
5216,3073.8,3236.1,162.26,ok
10543,3076.7,3245.1,168.42,ok
25831,3184.4,3247.2,62.79,ok
13012,3150.6,3258.7,108.04,ok
25834,3245.1,3264.0,18.86,ok
11334,3236.1,3272.9,36.76,ok
26439,3264.0,3289.8,25.85,ok
8309,3272.9,3304.7,31.83,ok
17922,3172.3,3315.3,142.96,ok
20054,3258.7,3332.4,73.78,ok
26040,3184.2,3356.4,172.22,ok
4693,3289.8,3356.5,66.67,ok
15906,3137.6,3356.7,219.1,ok
26718,3332.4,3389.7,57.26,ok
25714,3315.3,3395.6,80.31,ok
15150,3304.7,3410.9,106.22,ok
26720,3356.5,3422.5,66.01,ok
13132,3247.2,3428.5,181.31,ok
7787,3356.7,3432.0,75.35,ok
26479,3395.6,3448.4,52.82,ok
9990,3389.7,3452.6,62.87,ok
15010,3356.4,3456.7,100.33,ok
11844,3154.3,3462.5,308.2,ok
26373,3448.4,3471.6,23.25,ok
18457,3428.5,3476.9,48.38,ok
26614,3452.6,3493.4,40.86,ok
26022,3410.9,3503.7,92.82,ok
25315,3456.7,3514.8,58.13,ok
4601,3432.0,3522.1,90.1,ok
10229,3471.6,3541.6,70.0,ok
14738,3493.4,3543.6,50.13,ok
9953,3503.7,3556.1,52.38,ok
7436,3522.1,3571.6,49.52,ok
9614,3514.8,3572.7,57.9,ok
7565,3462.5,3584.2,121.75,ok
11769,3543.6,3590.0,46.41,ok
25435,3476.9,3604.5,127.55,ok
11482,3556.1,3611.8,55.69,ok
9057,3422.5,3620.6,198.05,ok
25384,3572.7,3649.3,76.53,ok
17168,3571.6,3650.8,79.12,ok
25425,3604.5,3670.9,66.46,ok
26112,3611.8,3690.1,78.27,ok
26660,3620.6,3701.0,80.4,ok
23711,3541.6,3703.2,161.54,ok
15243,3650.8,3724.9,74.11,ok
25631,3590.0,3737.9,147.87,ok
26210,3670.9,3766.1,95.19,ok
13805,3703.2,3783.2,79.99,ok
26256,3701.0,3808.5,107.56,ok
10319,3584.2,3817.3,233.09,ok
25320,3724.9,3842.0,117.12,ok
18011,3766.1,3842.1,76.04,ok
26787,3690.1,3864.1,174.03,ok
7488,3737.9,3883.1,145.24,ok
10653,3817.3,3927.1,109.76,ok
26522,3649.3,3941.6,292.33,ok
26810,3842.1,3954.0,111.82,ok
25871,3864.1,3970.4,106.3,ok
10109,3808.5,3989.6,181.12,ok
12050,3927.1,3992.8,65.78,ok
25968,3941.6,4002.3,60.72,ok
25783,3954.0,4029.8,75.88,ok
10543,3842.0,4058.0,215.95,ok
4291,3989.6,4067.9,78.25,ok
26025,3883.1,4075.0,191.95,ok
25882,3992.8,4093.2,100.3,ok
25498,3970.4,4100.4,129.94,ok
25397,3783.2,4111.2,328.04,ok
26783,4067.9,4119.1,51.22,ok
4741,4029.8,4124.0,94.18,ok
26456,4075.0,4135.4,60.3,ok
13458,4093.2,4138.6,45.38,ok
26005,4058.0,4138.7,80.75,ok
26805,4100.4,4147.5,47.11,ok
15832,4111.2,4153.5,42.26,ok
25344,4119.1,4173.7,54.62,ok
15049,4002.3,4176.7,174.41,ok
6373,4138.6,4184.4,45.86,ok
26067,4147.5,4204.3,56.81,ok
4383,4153.5,4211.6,58.13,ok
26496,4173.7,4225.4,51.68,ok
25629,4124.0,4242.2,118.22,ok
17817,4176.7,4251.5,74.76,ok
5114,4204.3,4283.1,78.78,ok
4399,4211.6,4283.8,72.17,ok
8569,4225.4,4297.8,72.39,ok
25545,4242.2,4316.3,74.05,ok
26658,4138.7,4332.3,193.63,ok
14674,4283.1,4341.9,58.82,ok
15697,4184.4,4352.2,167.81,ok
11082,4251.5,4374.5,123.02,ok
14051,4316.3,4398.6,82.3,ok
12849,4135.4,4413.2,277.79,ok
9876,4332.3,4414.2,81.84,ok
12982,4341.9,4422.0,80.03,ok
11968,4283.8,4435.5,151.77,ok
12518,4297.8,4437.5,139.71,ok
11810,4374.5,4446.9,72.36,ok
9000,4398.6,4450.2,51.63,ok
8812,4413.2,4480.3,67.12,ok
13237,4435.5,4511.2,75.67,ok
7609,4352.2,4527.8,175.61,ok
14904,4437.5,4533.8,96.25,ok
25577,4446.9,4548.6,101.72,ok
26414,4414.2,4555.0,140.83,ok
26508,4422.0,4568.8,146.88,ok
12305,4527.8,4587.5,59.62,ok
25279,4450.2,4604.2,153.92,ok
17034,4480.3,4605.8,125.55,ok
12343,4568.8,4626.3,57.47,ok
26240,4555.0,4639.0,84.01,ok
26749,4511.2,4654.3,143.08,ok
11555,4548.6,4660.5,111.87,ok
17332,4604.2,4671.2,67.02,ok
12102,4605.8,4674.5,68.65,ok
26294,4626.3,4708.3,82.04,ok
11822,4639.0,4710.7,71.6,ok
25977,4533.8,4712.0,178.26,ok
12950,4660.5,4727.9,67.4,ok
14438,4674.5,4731.3,56.84,ok
11512,4671.2,4736.6,65.38,ok
10538,4708.3,4750.8,42.47,ok
25585,4710.7,4771.1,60.48,ok
9173,4654.3,4771.6,117.27,ok
11614,4712.0,4790.3,78.31,ok
11028,4731.3,4800.6,69.28,ok
25469,4736.6,4811.9,75.34,ok
25409,4771.6,4828.5,56.97,ok
12889,4750.8,4844.3,93.46,ok
19186,4771.1,4866.1,94.92,ok
26517,4811.9,4868.3,56.37,ok
26201,4800.6,4883.0,82.35,ok
3609,4587.5,4889.6,302.11,ok
16494,4790.3,4896.3,105.98,ok
25937,4828.5,4903.9,75.39,ok
25305,4866.1,4911.6,45.54,ok
6531,4883.0,4922.6,39.62,ok
26425,4844.3,4935.2,90.94,ok
3924,4868.3,4940.0,71.69,ok
13216,4727.9,4948.2,220.27,ok
15078,4896.3,4957.5,61.2,ok
14075,4922.6,4960.7,38.11,ok
8793,4911.6,4966.3,54.71,ok
26027,4935.2,4980.9,45.66,ok
11800,4903.9,4981.8,77.9,ok
10948,4940.0,4989.8,49.78,ok
23470,4889.6,4996.4,106.86,ok
25746,4966.3,5020.0,53.68,ok
25259,4948.2,5042.5,94.32,ok
17182,4980.9,5075.6,94.76,ok
25712,4989.8,5078.8,89.06,ok
11399,4960.7,5084.5,123.79,ok
10260,4957.5,5106.1,148.58,ok
26741,5020.0,5108.1,88.1,ok
25324,5042.5,5115.3,72.78,ok
18604,4981.8,5122.3,140.43,ok
5069,5075.6,5135.5,59.81,ok
25788,5084.5,5140.3,55.85,ok
25934,5078.8,5150.9,72.1,ok
8198,5115.3,5182.3,66.95,ok
26426,5106.1,5189.3,83.2,ok
25478,5140.3,5207.3,66.98,ok
24675,5150.9,5218.7,67.79,ok
26673,5122.3,5226.8,104.49,ok
26245,5135.5,5233.2,97.76,ok
6388,5182.3,5233.3,51.03,ok
18656,5108.1,5245.5,137.43,ok
10073,5189.3,5255.2,65.93,ok
14451,4996.4,5262.2,265.74,ok
26813,5226.8,5284.4,57.64,ok
7073,5207.3,5296.5,89.2,ok
9547,5233.2,5317.9,84.67,ok
15326,5255.2,5344.4,89.18,ok
17471,5233.3,5347.2,113.93,ok
16495,5218.7,5357.8,139.07,ok
16115,5245.5,5362.2,116.67,ok
26668,5296.5,5371.8,75.3,ok
26144,5344.4,5380.0,35.61,ok
22624,5262.2,5381.8,119.59,ok
11964,5317.9,5387.3,69.41,ok
22566,5357.8,5414.9,57.06,ok
26283,5347.2,5426.9,79.67,ok
11778,5380.0,5445.1,65.05,ok
10506,5371.8,5453.7,81.94,ok
26353,5284.4,5464.3,179.95,ok
26214,5414.9,5472.6,57.72,ok
5794,5362.2,5496.0,133.76,ok
25470,5445.1,5510.4,65.33,ok
26520,5381.8,5528.6,146.88,ok
25824,5464.3,5541.6,77.28,ok
9421,5387.3,5543.5,156.22,ok
26486,5496.0,5564.4,68.41,ok
25648,5472.6,5575.3,102.72,ok
15077,5528.6,5590.2,61.6,ok
18038,5453.7,5593.4,139.62,ok
11439,5541.6,5603.8,62.18,ok
14018,5543.5,5603.9,60.37,ok
26243,5590.2,5614.2,23.98,ok
2895,5564.4,5625.1,60.75,ok
25752,5426.9,5627.6,200.73,ok
13640,5575.3,5655.4,80.15,ok
15474,5625.1,5664.9,39.65,ok
14203,5603.8,5670.4,66.57,ok
11729,5510.4,5678.3,167.93,ok
26710,5593.4,5698.1,104.71,ok
10322,5603.9,5716.5,112.61,ok
9618,5655.4,5721.8,66.39,ok
14319,5627.6,5734.2,106.6,ok
7559,5678.4,5748.6,70.23,ok
25885,5670.4,5751.2,80.76,ok
15348,5614.2,5761.5,147.28,ok
26263,5716.5,5772.3,55.75,ok
10795,5664.9,5785.1,120.18,ok
17875,5721.8,5819.2,97.39,ok
26712,5751.2,5824.0,72.8,ok
17970,5761.5,5829.4,67.88,ok
26637,5785.1,5843.1,58.07,ok
25464,5734.2,5853.0,118.76,ok
26165,5819.2,5865.1,45.83,ok
26321,5772.3,5872.2,99.96,ok
6836,5829.4,5883.5,54.1,ok
3955,5698.1,5886.8,188.73,ok
26608,5853.0,5906.4,53.43,ok
26368,5843.1,5907.8,64.63,ok
15092,5865.1,5925.2,60.14,ok
15014,5824.0,5942.7,118.71,ok
10001,5883.5,5949.7,66.22,ok
8925,5906.4,5963.5,57.03,ok
5216,5748.6,5983.2,234.65,ok
15015,5907.8,5987.1,79.3,ok
17856,5925.2,5996.6,71.45,ok
14569,5886.8,6008.4,121.56,ok
26818,5987.1,6016.5,29.46,ok
7660,5983.2,6033.5,50.27,ok
