qid,status,latency_s,memory_delta_bytes,network_delta_bytes,disk_delta_bytes
10001,ok,10.222,5016436736,3152028336,3030056960
10003,ok,26.036,16647122944,10292222002,4737093632
10015,ok,66.764,13428494336,3614113398,3204726784
10031,ok,7.519,5606875136,1055744019,1008668672
10035,ok,41.045,11243274240,11707033805,4008849408
10058,ok,5.119,8135036928,1082437110,3963166720
10068,ok,0.516,495869952,115381,519700480
10071,ok,3.418,5665701888,179097869,2945679360
10073,ok,31.638,5074546688,1042130685,4928696320
10074,ok,15.032,11985936384,1787985971,567566336
10075,ok,21.237,7299469312,3404275792,3203383296
10076,ok,59.631,11302924288,7756262286,3611910144
1008,ok,8.133,8936427520,1073741824.0,1851289600
10083,ok,14.824,20160737280,1706939985,562253824
10087,ok,15.431,7229435904,3403583086,3202850816
10088,ok,3.218,4427579392,892669468,3962933248
10091,ok,16.631,9779326976,4922145707,4937433088
10094,ok,3.918,4527198208,853379,4379799552
10109,ok,25.939,5390663680,3381518447,3027623936
10110,ok,2.72,3225133056,681847,3166965760
10119,ok,39.445,8536436736,11621250303,3750150144
10122,ok,29.538,13683281920,7072010511,2951012352
10125,ok,5.92,9929289728,722166827,3839356928
10128,ok,76.561,16694861824,7710946516,3866742784
10137,ok,3.518,5713690624,181303819,2945576960
10155,ok,17.732,11636826112,7753823315,3607973888
10158,ok,6.52,12923191296,967394057,3018612736
10170,ok,30.739,19888709632,13173943480,4411809792
10172,ok,6.42,9578909696,2444690148,2726785024
10173,ok,5.22,8022048768,1081727771,3956461568
10182,ok,10.927,11104698368,1286837108,4014682112
10187,ok,2.117,3771035648,95160949,462200832
10189,ok,2.918,3246739456,1069247,3168002048
1019,ok,13.463,9851916288,1739461754.879963,1544704000
10199,ok,2.82,3291521024,517897,3166978048
10206,ok,6.021,9273114624,1102817652,3965902848
10208,ok,13.526,8917770240,7372063909,3810983936
10211,ok,26.542,17465483264,10358550864,4763381760
10216,ok,6.12,9246552064,1105281285,3962945536
10218,ok,24.131,8539107328,3393322822,3151851520
1022,ok,14.688,6991896576,1621350154.2400303,5156397056
10225,ok,6.019,9183637504,1105713006,3964076032
10229,ok,10.025,7413485568,267951997,2915549184
10234,ok,1.917,2538221568,620079975,562188288
10237,ok,129.311,10451632128,4275474597,4030353408
10242,ok,23.136,8458231808,3424016172,3202883584
10243,ok,3.72,6219538432,490982820,3965882368
10257,ok,1.216,2049064960,649874344,513302528
10259,ok,6.02,9279451136,1103548708,3963363328
10260,ok,25.834,5332566016,3380913432,3029491712
10262,ok,157.517,9060118528,1512275144,6941552640
10274,ok,5.623,12042170368,1765794700,4419850240
10294,ok,17.332,8478646272,4094387853,3859947520
10300,ok,5.121,7916937216,1084187573,3964080128
10309,ok,0.816,1566146560,250001077,252755968
10315,ok,13.024,8929099776,7373159607,3811061760
10316,ok,9.724,9716613120,4896397384,4007739392
10319,ok,30.138,7518740480,1468674822,6470930432
10322,ok,15.529,7363096576,3403509227,3203452928
10330,ok,3.318,5699973120,342607135,3862556672
10334,ok,17.729,11625541632,7753831981,3607650304
10335,ok,2.519,3358806016,31785021,2947559424
10340,ok,21.734,13936377856,9911428644,5042733056
10342,ok,74.574,19679903744,14232286519,3727814656
10348,ok,9.525,20805390336,2128896369,562225152
1035,ok,26.036,8505868288,4402341478.399994,3750010880
10350,ok,4.319,5324709888,893449431,3914854400
10358,ok,26.237,16610570240,10292052167,4735561728
10361,ok,18.128,11648536576,7754968053,3607724032
10363,ok,1.216,2070593536,649522687,513589248
10367,ok,9.121,22510891008,1839453369,566157312
10368,ok,2.417,4568051712,643046601,452984832
10371,ok,19.929,10453135360,5008599241,4937789440
10375,ok,2.717,3253395456,672566,3160657920
10391,ok,13.027,8988917760,7372397082,3811110912
10399,ok,3.817,4606267392,1621342,4363661312
10406,ok,16.629,9709322240,4923193045,4937400320
10407,ok,2.019,3876855808,884094375,582082560
10412,ok,4.12,6943199232,305540712,2945462272
10419,ok,9.223,13914345472,2345638518,3733114880
10439,ok,23.738,8569765888,3394406826,3155431424
10446,ok,4.119,6931558400,304256737,2945499136
10450,ok,0.715,1216331776,597599723,561590272
10458,ok,9.922,12668547072,1944105995,560635904
